柳氏出自姬姓。魯孝公子夷伯展孫無駭生禽，字季，為魯士師，謚曰惠，食采於柳下，遂姓柳氏。楚滅魯，仕楚。秦幷天下，柳氏遷於河東。秦末，柳下惠裔孫安，始居解縣。安孫隗，漢齊相。六世孫豐，後漢光祿勳。六世孫軌，晉吏部尚書。生景猷，晉侍中。二子：耆、純。耆，太守，號「西眷」。耆二子：恭、璩。恭，後魏河東郡守，南徙汝、潁，遂仕江表。曾孫緝，宋州別駕、宋安郡守。生僧習，與豫州刺史裴叔業據州歸于後魏，為揚州大中正、尚書右丞、方輿公。五子：鷟、慶、虬、檜、鸑。

鷟，後魏臨淮王記室。	帶韋字孝孫，後周黃門侍郎、康城愷公。	祚，隋司勳侍郎。	震，鄆州刺史。	俊，棣州刺史。	　	　	　	　	　	　	　
　	　	　	　	　	　	　	　	鼎。	　	　	　
　	　	　	　	　	　	滉字太沖，相德宗。	羣，禮部員外郎。	察，明州刺史。	諫師。	　	　
　	　	　	　	　	　	　	　	宥，衞尉卿。	　	　	　
　	　	　	　	　	　	　	　	寬，右金吾兵曹參軍。	　	　	　
　	　	　	　	　	　	　	皐字仲聞，尚書左僕射。	充，舒王府錄事參軍。	　	　	　
　	　	　	　	　	　	　	　	衮。	紹，京兆文學。	　	　
　	　	　	　	　	　	　	　	　	玫，成都少尹。	諷。	　
　	　	　	　	　	　	氵向，京兆府錄事參軍。	　	　	　	　	　
　	　	　	　	　	　	渾，太常少卿。	述，都官郎中、閬州刺史。	復，洋州刺史。	鈞，左司員外郎。	　	　
　	　	　	　	　	　	　	　	　	鑄字台臣，檢校兵部尚書。	環，太子司議郎。	　
　	　	　	　	　	　	　	　	　	　	瓌，穰令。	　
　	　	　	　	　	　	　	　	　	　	弼。	士通，原州司戶參軍。
　	　	　	　	　	　	　	　	　	　	　	士約，大理評事。
　	　	　	　	　	　	　	　	　	　	玹。	　
　	　	　	　	　	　	　	　	解，太子中允。	　	　	　
　	　	　	　	　	　	　	　	益，金部員外郎。	瑴，流溪令。	　	　
　	　	　	　	　	　	　	　	孚，興元少尹。	巘。	　	　
　	　	　	　	　	　	　	武，右拾遺。	抗，真源尉。	逵。	枳。	繕。
　	　	　	　	　	　	　	　	　	　	　	侶。
　	　	　	　	　	　	　	　	　	柷。	坤。	　
　	　	　	　	　	　	　	　	　	櫓。	　	　
　	　	　	　	　	　	　	　	巽。	𣏌。	　	　
　	　	　	　	　	　	　	　	　	友信。	　	　
　	　	　	　	　	　	　	　	　	絢。	　	　
　	　	　	　	　	　	　	　	揆，河南丞。	　	　	　
　	　	　	　	　	　	洄字幼來，兵部侍郎。	曅，司封郎中。	賓，亳州刺史。	造。	　	　
　	　	　	　	　	　	　	　	　	鄘字正封，遂州刺史。	飾。	　
　	　	　	　	　	　	　	　	　	潁。	　	　
　	　	　	　	　	　	　	　	　	郇。	　	　
　	　	　	　	　	　	　	　	宁。	據。	　	　
　	　	　	　	　	　	　	常，岳州刺史。	密。	　	　	　
　	　	　	　	　	　	　	　	抗，吳令。	　	　	　
　	　	　	　	　	　	　	彝。	謇。	　	　	　
　	　	　	　	　	　	　	弈，涇陽尉。	最。	　	　	　
　	　	　	　	　	　	　	㔻，興平令。	蹇。	　	　	　
　	　	　	　	　	　	　	中，歸州刺史。	操。	　	　	　
　	　	　	　	　	倩，殿中丞。	演，和州刺史。	　	　	　	　	　
　	　	　	　	　	　	混，率府錄事參軍。	　	　	　	　	　
　	　	　	　	　	　	滌，河南兵曹參軍。	承訓，洛陽令。	乂，定遠令。	庶。	鉶。	　
　	　	　	　	　	　	　	　	　	鍔。	嶠。	　
　	　	　	　	　	　	　	承徽。	宗簡。	　	　	　
　	　	　	　	　	　	　	　	玄亮，中牟尉。	　	　	　
　	　	　	　	　	　	　	　	玄著。	　	　	　
　	　	　	　	　	　	　	　	宗古，蕭令	　	　	　
　	　	　	　	　	　	　	　	籌，右諫議大夫。	邠，蘇州刺史。	　	　
　	　	　	　	　	　	　	　	範。	　	　	　
　	　	　	　	　	　	　	　	翥。	　	　	　
　	　	　	　	　	　	湜，真源丞。	肇，宣城尉。	藩。	　	　	　
　	　	　	　	　	　	　	　	楷，海陵尉。	　	　	　
　	　	　	　	大敏。	份，著作郎。	　	　	　	　	　	　
　	　	　	　	　	佺，虞城尉。	　	　	　	　	　	　
南鄉恭侯暨子孫其後徙陽夏。

望。	垂。	弘，相憲宗。	肅元。	　	　	　	　	　	　	　	　
　	　	　	公武字從偃，右驍衞上將軍。	繼之。	　	　	　	　	　	　	　
　	　	　	　	繼宗。	　	　	　	　	　	　	　
　	　	充，檢校司徒、宣武節度使，謚曰肅。	　	　	　	　	　	　	　	　	　
韓氏宰相四人。瑗、休、滉、弘。

來氏出自子姓。商之支孫食采於郲，因以為氏，其後避難去「邑」。秦末徙新野。漢有光祿大夫來漢，從楊僕擊南越。孫仲，諫議大夫。生歙，字君叔，中郎將。生稜。稜生歷，為執金吾。生定，中郎將。孫豔，司空。生敏，字敬達，蜀執慎將軍。七世孫崱，始徙江都。

崱。	繪。	護兒，隋左翊衞大將軍、榮國公。	恒，相高宗。	景業，虞部郎中。	　	　	　	　	　	　	　
　	　	　	濟，相高宗。	敬業，潤州刺史。	　	　	　	　	　	　	　
　	　	　	　	慶遠，中書舍人。	　	　	　	　	　	　	　
來氏宰相二人。濟、恒。


許氏出自姜姓。炎帝裔孫伯夷之後，周武王封其裔孫文叔於許，後以為太嶽之嗣，至元公結為楚所滅，遷于容城，子孫分散，以國為氏。自容城徙冀州高陽北新城都鄉樂善里。秦末有許猗，隱居不仕。曾孫毗，漢侍中、太常。生德，字伯饒，安定、汝南太守，因居平輿。四子：據、政、邈、勁。據，大司農。生允，字士崇，魏中領軍、鎮北將軍。三子：殷、動、猛。允孫式，式二子：販、邁。販字仲仁，晉司徒掾。四子：茂、詢、嶷、雅。詢字玄度，四子：元之、仲之、季之、珪。珪，宋給事、著作郎、桂陽太守。生勇慧，齊太子家令、宂從僕射、晉陵縣侯。二子：懋、胤。懋，梁天門太守、中庶子，生亨。德次子政，字義先，別居邵陵。

亨，陳衞尉卿。	善心，隋黃門侍郎。	敬宗字延族，相高宗。	昂，虔化令。	彥伯，太子舍人。	望，右羽林將軍。	遠，侍御史、睢陽太守。	峴，袁州刺史。	　	　	　	　
　	　	　	　	韶伯，右屯衞將軍、平恩公。	　	　	　	　	　	　	　
　	　	　	昱。	　	　	　	　	　	　	　	　
　	　	　	昪，明堂令。	　	　	　	　	　	　	　	　
　	　	　	果，恭陵令。	　	　	　	　	　	　	　	　
　	　	　	景，工部郎中、判右羽林大將軍。	　	　	　	　	　	　	　	　
安陸許氏出自詢五世孫君明，梁楚州刺吏，生弘周。

弘周，楚州刺史。	法光，後周岳州刺史。	紹，峽州刺史。	善，隋宣城郡主簿。	力士，洛州長史。	欽寂，夔州刺史。	輔乾，右金吾大將軍。	諫，河南丞。	　	　	　	　
　	　	　	　	　	　	　	論，監察御史。	　	　	　	　
　	　	　	　	　	　	　	詵，歸州刺史。	　	　	　	　
　	　	　	　	　	　	　	諷，監察御史。	　	　	　	　
　	　	　	　	　	　	輔德，宕州刺史。	　	　	　	　	　
　	　	　	　	　	欽明，梁州都督、安西大都護。	誡惑，鴻臚少卿。	子房。	　	　	　	　
　	　	　	　	　	　	　	季常，萬年丞。	　	　	　	　
　	　	　	　	　	　	　	子端，岳州刺史。	　	　	　	　
　	　	　	　	　	　	誡言，太僕卿、右衞大將軍。	子餘，壽州刺史。	　	　	　	　
　	　	　	　	　	欽淡，深州刺史、光祿卿。	叔冀，滑汴節度使	孝常，亳州刺史。	　	　	　	　
　	　	　	　	　	　	　	仲容，鄧州刺史。	志倫。	　	　	　
　	　	　	　	　	　	　	　	志雍，兼監察御史。	　	　	　
　	　	　	伯裔。	　	　	　	　	　	　	　	　
　	　	　	智仁，右屯衞將軍、許昌公。	　	　	　	　	　	　	　	　
　	　	　	圉師，相高宗	自牧。	　	　	　	　	　	　	　
　	　	　	　	自遂。	　	　	　	　	　	　	　
　	　	　	　	自正，澤州刺史。	　	　	　	　	　	　	　
許氏宰相二人。敬宗、圉師。


