唐為國久，傳世多，而諸臣亦各修其家法，務以門族相高。其材子賢孫不殞其世德，或父子相繼居相位，或累數世而屢顯，或終唐之世不絕。嗚呼，其亦盛矣！然其所以盛衰者，雖由功德薄厚，亦在其子孫。作宰相世系表。

裴氏出自風姓。顓頊裔孫大業生女華，女華生大費，大費生皐陶，皐陶生伯益，賜姓嬴氏。生大廉，大廉五世孫曰仲衍，仲衍四世孫曰軒，軒生潏，潏生飛廉，飛廉生惡來，惡來生女防，女防生旁皐，旁皐生太几，太几生大駱，大駱生非子，周孝王使養馬汧渭之間， 以馬蕃息，封之於秦為附庸，使續嬴氏，號曰秦嬴。非子之支孫封𨛬鄉，因以為氏，今聞喜𨛬城是也。六世孫陵，當周僖王之時封為解邑君，乃去「邑」從「衣」為裴。裴，衣長貌。一云晉平公封顓頊之孫鍼於周川之裴中，號裴君，疑不可辨。陵裔孫蓋，漢水衡都尉、侍中，九世孫燉煌太守遵，自雲中從光武平隴蜀，徙居河東安邑，安順之際徙聞喜。曾孫曄，幷州刺史、度遼將軍。子茂字巨光，靈帝時歷郡守、尚書，率諸將討李傕有功，封陽吉平侯。三子：潛、徽、輯。

西眷裴出自陽吉平侯茂長子徽，字文秀，魏冀州刺史、蘭陵武公，以其子孫多仕西涼者，故號西眷。四子：黎、康、楷、綽。黎字伯宗，一名演，游擊將軍、祕書監。二子粹、苞。粹，晉武威太守。二子：詵、暅。詵，太常卿，避地涼州，及苻堅克河西，復還解縣，生劭，劭生和，和生鍾，鍾生景惠。

景惠，後魏州別駕。	會。	韜。	融，後周司木大夫。	孝瑜，儀同大將軍。	該。	　	奐，戶部員外郎。	　	　	　	　
　	　	　	　	　	　	　	　	　	儆字九思，左金吾將軍，謚成。	堅，殿中丞。	　
　	　	　	　	　	　	　	　	　	　	墐字封叔，吉州長史。	銑。
　	　	　	　	　	　	　	　	　	　	埴字靖之，祕書監。	　
　	　	　	　	　	　	　	　	　	　	塤，戶部郎中。	鐇。
　	　	　	　	　	　	　	　	　	　	　	鍠字振德。
　	　	　	　	　	　	　	　	　	倚，殿中侍御史。	　	　
　	　	　	　	　	　	　	　	　	侑，榆次尉。	　	　
三虎，後魏義陽太守。	文德。	軌。	瑾。	　	　	　	景叔，青州刺史。	　	　	　	　
　	　	　	子瑜。	　	　	　	喻，朗州刺史。	　	　	　	　
　	　	　	景深。	著。	世清，江州刺史。	嘉陵，齊州司馬。	　	　	　	　	　
　	　	　	　	　	　	　	思訓，巴州刺史。	皎然。	周南，監察御史。	　	　
　	　	　	　	　	　	　	　	　	邵南。	　	　
　	　	　	　	　	　	　	　	　	士南。	　	　
　	　	　	　	　	　	　	　	脩然。	國南。	　	　
　	嵩仁。	　	　	耀之，高陽太守。	知道，武陵令。	義弘，中書舍人、玄武公。	惓字翁喜，杭州刺史、河東縣男。	遵裕。	單。	　	　
　	　	　	　	　	　	　	　	　	宜。	　	　
　	　	　	　	　	　	　	　	遵業。	彭。	禮，韶州刺史。	　
　	　	　	　	　	　	　	　	遵慶字少良，相代宗。	會，都官郎中。	　	　
　	　	　	　	　	　	　	　	　	向字傃仁，吏部尚書。	寅字子敬，御史大夫。	格。
　	　	　	　	　	　	　	　	　	　	　	樞字化聖，相昭宗。
　	桃弓。	夙字買興，後魏河北太守。	鑒，司徒右長史。	澤，北齊黃門侍郎。	祥。	　	　	方產，右司郎中。	咸，太子諭德。	　	　

